epoch,timestamp,low,high,open,close,volume
1640995260.0,2022-01-01 00:01:00,46228.0,46327.61,46244.63,46301.29,22.578581
1640995320.0,2022-01-01 00:02:00,46284.81,46372.55,46305.44,46345.08,38.43560812
1640995380.0,2022-01-01 00:03:00,46299.97,46377.1,46345.08,46320.3,8.23635408
1640995440.0,2022-01-01 00:04:00,46285.7,46329.09,46316.24,46306.89,16.31902866
1640995500.0,2022-01-01 00:05:00,46268.25,46422.94,46315.1,46413.83,40.6954352
1640995560.0,2022-01-01 00:06:00,46419.78,46500.0,46419.8,46498.06,30.69551487
1640995620.0,2022-01-01 00:07:00,46412.19,46500.0,46498.06,46416.41,16.60661162
1640995680.0,2022-01-01 00:08:00,46371.42,46415.57,46415.57,46382.21,15.87096502
1640995740.0,2022-01-01 00:09:00,46334.88,46392.16,46382.21,46364.9,13.68422033
1640995800.0,2022-01-01 00:10:00,46326.59,46375.72,46363.03,46365.34,5.21343665
1640995860.0,2022-01-01 00:11:00,46280.58,46365.4,46365.39,46305.58,14.51819113
1640995920.0,2022-01-01 00:12:00,46264.15,46305.26,46304.38,46277.05,3.68134188
1640995980.0,2022-01-01 00:13:00,46266.47,46347.67,46277.04,46310.41,48.86777362
1640996040.0,2022-01-01 00:14:00,46297.14,46316.17,46309.39,46316.17,8.69798931
1640996100.0,2022-01-01 00:15:00,46293.48,46315.46,46315.46,46299.99,9.07365396
1640996160.0,2022-01-01 00:16:00,46280.59,46304.59,46300.0,46302.55,12.84720446
1640996220.0,2022-01-01 00:17:00,46254.54,46300.1,46300.1,46260.59,6.95660868
1640996280.0,2022-01-01 00:18:00,46250.0,46265.42,46260.6,46260.6,13.42793131
1640996340.0,2022-01-01 00:19:00,46211.35,46265.42,46260.62,46265.41,15.30888366
1640996400.0,2022-01-01 00:20:00,46262.12,46309.48,46265.42,46307.29,31.44126142
1640996460.0,2022-01-01 00:21:00,46265.88,46361.0,46307.29,46358.0,7.08065352
1640996520.0,2022-01-01 00:22:00,46350.7,46394.44,46358.0,46373.33,13.84849875
1640996580.0,2022-01-01 00:23:00,46342.82,46381.86,46367.32,46343.23,7.5512255
1640996640.0,2022-01-01 00:24:00,46343.23,46380.8,46343.23,46376.54,19.61225777
1640996700.0,2022-01-01 00:25:00,46361.91,46380.8,46376.53,46372.0,3.60611382
1640996760.0,2022-01-01 00:26:00,46363.31,46374.22,46372.0,46372.37,9.4938922
1640996820.0,2022-01-01 00:27:00,46325.53,46372.37,46372.37,46343.37,23.22354923
1640996880.0,2022-01-01 00:28:00,46343.38,46375.54,46343.38,46345.01,8.08150883
1640996940.0,2022-01-01 00:29:00,46331.87,46359.09,46345.01,46359.09,6.68338678
1640997000.0,2022-01-01 00:30:00,46334.08,46371.09,46359.1,46345.99,7.03501518
1640997060.0,2022-01-01 00:31:00,46342.2,46361.02,46346.0,46356.03,3.77149534
1640997120.0,2022-01-01 00:32:00,46354.14,46374.81,46355.38,46368.33,8.00746194
1640997180.0,2022-01-01 00:33:00,46348.7,46370.6,46368.34,46360.61,5.56887734
1640997240.0,2022-01-01 00:34:00,46355.71,46425.0,46359.56,46425.0,9.74178892
1640997300.0,2022-01-01 00:35:00,46424.6,46472.89,46424.61,46454.99,5.37437367
1640997360.0,2022-01-01 00:36:00,46451.85,46495.28,46453.45,46484.2,4.78174278
1640997420.0,2022-01-01 00:37:00,46457.41,46490.87,46484.21,46489.34,15.9530165
1640997480.0,2022-01-01 00:38:00,46478.68,46496.9,46485.93,46485.44,6.38297721
1640997540.0,2022-01-01 00:39:00,46479.64,46560.85,46485.85,46508.31,17.24921154
1640997600.0,2022-01-01 00:40:00,46484.0,46556.4,46508.07,46553.26,11.838535
