"ts-60","open","close","low","high","index","ema","ema-grad","ndr","ndr+05","ndr-05","ndr+075","ndr-075","ndr+1","ndr-1","env-dist","grad-ndr-10","ndr-grad","rsi","rsi-ema","rsi-ema-grad","ema-area","stoch"
"2022-01-01 00:00:00","46244.63","46656.85","46211.35","46744.99","0","46656.85","2.579199999999837","46656.85","","","","","","","","7.718495706903195","7.718495706903195","","","","",""
"2022-01-01 01:00:00","46656.85","46780.85","46573.65","46931.0","1","46721.329999999994","1.9181791044776038","46734.03495706903","","","","","","","","6.513411744539189","6.513411744539189","100.0","100.0","","",""
"2022-01-01 02:00:00","46778.0","46808.55","46728.5","46929.2","2","46752.75895522388","0.9163709137380647","46787.11823489078","","","","","","","","3.4412637064735465","3.4412637064735465","100.0","100.0","-0.02409953006629138","",""
"2022-01-01 03:00:00","46808.55","46804.01","46757.45","46895.06","3","46767.1485456869","-0.019405734996689718","46802.8602311985","","","","","","","","-2.075950764061781","-2.075950764061781","96.65601195234004","98.79502349668543","-0.2805910618298668","",""
"2022-01-01 04:00:00","46804.0","46701.29","46621.59","46872.86","4","46751.788668474044","1.4524723202468885","46745.59921960955","","","","","","","","9.232378508856346","9.232378508856346","53.118049531050985","85.97044690850666","-0.25707445856796196","",""
"2022-01-01 05:00:00","46696.45","47188.0","46668.64","47548.53","5","46839.77216169924","2.2517627342382913","46987.50780137563","","","","","","","","14.098555906013644","14.098555906013644","85.84547614524207","85.94130056828733","-0.08647867664693422","",""
"2022-01-01 06:00:00","47188.0","46976.98","46944.81","47327.89","6","46864.37680518596","1.5840196856505644","47027.57033772982","","","","","","","","6.559252781214672","6.559252781214672","64.6482727299079","81.64651307615995","-0.11891428367436731","",""
"2022-01-01 07:00:00","46982.82","47200.01","46903.5","47251.76","7","46918.97314598177","1.69407608674519","47118.69285699992","","","","","","","","5.468924909601992","5.468924909601992","72.44011743508793","79.99558638456897","-0.07620859091394351","",""
"2022-01-01 08:00:00","47200.14","47119.93","47087.17","47347.54","8","46949.08060952322","1.13443135170397","47136.94883592186","","","","","","","","0.8891729086139094","0.8891729086139094","66.71995597475099","77.83608353046277","-0.07443915920915516","",""
"2022-01-01 09:00:00","47124.07","47139.67","46938.37","47212.89","9","46975.69471356697","0.23819667285381002","47136.4763151722","","","","","","","","-7.789948826198815","-7.789948826198815","67.40723879284874","76.27362842411121","-0.10085290540060726","",""
"2022-01-01 10:00:00","47139.66","46863.79","46722.71","47299.79","10","46960.99044316591","-0.7997100533016783","46981.14985939788","","","","","","","","-15.49892821016947","-15.49892821016947","51.35122934772429","72.79343826043241","-0.1380934912580338","",""
"2022-01-01 11:00:00","46863.79","46758.11","46205.0","47000.0","11","46935.709210901885","-0.1504695776895096","46826.49775096881","","","","","","","","-1.297398176679053","-1.297398176679053","46.73189726876783","69.36895386120952","-0.09415672332828649","",""
"2022-01-01 12:00:00","46754.97","47085.01","46754.97","47155.28","12","46953.46696428143","0.5159446021138865","46955.2018958643","","","","","","","","9.851714701950915","9.851714701950915","59.07012932028193","68.08560209401809","-0.053408882200346","",""
"2022-01-01 13:00:00","47085.01","47023.9","46950.75","47206.01","13","46961.50644100758","0.08367605949591962","47023.53204500783","","","","","","","","0.8065798902487586","0.8065798902487586","56.42342969475945","66.69850975119222","-0.060450783660458","","False"
"2022-01-01 14:00:00","47023.89","46926.47","46855.69","47115.48","14","46957.65076725623","0.5052250324352644","46971.33349366928","","","","","","","","4.255939310212488","4.255939310212488","52.37052676979966","65.06306291099519","-0.04013565483816421","","False"
"2022-01-01 15:00:00","46926.42","47231.0","46872.46","47486.85","15","46986.76769262934","1.2362135679039057","47108.65083121208","","","","","","","","13.78794241919095","13.78794241919095","61.688739964260414","64.69172700928401","-0.009940892805064437","","False"
