start_epoch,end_epoch,start_time,end_time,open,close,low,high,volume
1695513600,1695513840,2023-09-24 00:00:00+00:00,2023-09-24 00:04:00+00:00,,26577.47,26572.26,26583.19,7.827665
1695513900,1695514140,2023-09-24 00:05:00+00:00,2023-09-24 00:09:00+00:00,26577.35,26577.8,26576.77,26581.43,6.230728
1695514200,1695514440,2023-09-24 00:10:00+00:00,2023-09-24 00:14:00+00:00,26577.8,26577.81,26573.22,26579.11,3.621665
1695514500,1695514740,2023-09-24 00:15:00+00:00,2023-09-24 00:19:00+00:00,26577.81,26575.2,26573.6,26578.17,3.450264
1695514800,1695515040,2023-09-24 00:20:00+00:00,2023-09-24 00:24:00+00:00,26576.19,26573.92,26572.3,26578.64,3.219896
1695515100,1695515340,2023-09-24 00:25:00+00:00,2023-09-24 00:29:00+00:00,26573.91,26582.91,26573.91,26582.91,7.479877
1695515400,1695515640,2023-09-24 00:30:00+00:00,2023-09-24 00:34:00+00:00,26582.91,26571.71,26571.56,26591.3,11.131744
1695515700,1695515940,2023-09-24 00:35:00+00:00,2023-09-24 00:39:00+00:00,26571.71,26566.26,26564.6,26573.22,4.058851
1695516000,1695516240,2023-09-24 00:40:00+00:00,2023-09-24 00:44:00+00:00,26566.25,26567.29,26565.29,26568.15,5.301304
1695516300,1695516540,2023-09-24 00:45:00+00:00,2023-09-24 00:49:00+00:00,26567.22,26569.49,26562.21,26569.75,6.128699
1695516600,1695516840,2023-09-24 00:50:00+00:00,2023-09-24 00:54:00+00:00,26569.49,26574.03,26569.48,26578.1,7.909826
1695516900,1695517140,2023-09-24 00:55:00+00:00,2023-09-24 00:59:00+00:00,26573.94,26571.62,26567.72,26574.2,6.316993
1695517200,1695517440,2023-09-24 01:00:00+00:00,2023-09-24 01:04:00+00:00,26571.61,26566.16,26560.19,26571.62,7.29193
1695517500,1695517740,2023-09-24 01:05:00+00:00,2023-09-24 01:09:00+00:00,26566.16,26563.16,26556.06,26566.16,12.900676
1695517800,1695518040,2023-09-24 01:10:00+00:00,2023-09-24 01:14:00+00:00,26563.16,26564.64,26560.34,26566.48,13.433771
1695518100,1695518340,2023-09-24 01:15:00+00:00,2023-09-24 01:19:00+00:00,26564.64,26567.44,26563.11,26569.94,10.937483
1695518400,1695518640,2023-09-24 01:20:00+00:00,2023-09-24 01:24:00+00:00,26567.43,26573.85,26566.39,26575.62,7.075235
1695518700,1695518940,2023-09-24 01:25:00+00:00,2023-09-24 01:29:00+00:00,26573.85,26582.39,26573.81,26582.39,7.02702
1695519000,1695519240,2023-09-24 01:30:00+00:00,2023-09-24 01:34:00+00:00,26582.38,26584.76,26581.64,26586.61,4.85376
1695519300,1695519540,2023-09-24 01:35:00+00:00,2023-09-24 01:39:00+00:00,26584.76,26590.0,26583.73,26590.0,3.547852
1695519600,1695519840,2023-09-24 01:40:00+00:00,2023-09-24 01:44:00+00:00,26590.0,26586.5,26581.95,26590.9,5.051296
1695519900,1695520140,2023-09-24 01:45:00+00:00,2023-09-24 01:49:00+00:00,26586.5,26586.67,26585.61,26587.04,3.536282
1695520200,1695520440,2023-09-24 01:50:00+00:00,2023-09-24 01:54:00+00:00,26586.67,26584.54,26582.58,26586.67,6.049858
1695520500,1695520740,2023-09-24 01:55:00+00:00,2023-09-24 01:59:00+00:00,26584.54,26589.16,26584.14,26589.65,8.917009
1695520800,1695521040,2023-09-24 02:00:00+00:00,2023-09-24 02:04:00+00:00,26589.16,26586.24,26584.65,26589.91,4.632297
1695521100,1695521340,2023-09-24 02:05:00+00:00,2023-09-24 02:09:00+00:00,26586.23,26592.18,26586.23,26593.79,3.863872
1695521400,1695521640,2023-09-24 02:10:00+00:00,2023-09-24 02:14:00+00:00,26592.19,26592.93,26592.18,26595.16,3.701254
1695521700,1695521940,2023-09-24 02:15:00+00:00,2023-09-24 02:19:00+00:00,26592.93,26585.89,26582.11,26592.93,5.75809
1695522000,1695522240,2023-09-24 02:20:00+00:00,2023-09-24 02:24:00+00:00,26585.89,26588.39,26585.88,26590.63,4.739436
1695522300,1695522540,2023-09-24 02:25:00+00:00,2023-09-24 02:29:00+00:00,26588.38,26587.63,26582.88,26588.38,5.0711
1695522600,1695522840,2023-09-24 02:30:00+00:00,2023-09-24 02:34:00+00:00,26587.62,26585.15,26577.03,26587.62,5.147309
1695522900,1695523140,2023-09-24 02:35:00+00:00,2023-09-24 02:39:00+00:00,26585.15,26585.82,26582.9,26587.19,3.790505
1695523200,1695523440,2023-09-24 02:40:00+00:00,2023-09-24 02:44:00+00:00,26585.82,26585.82,26585.81,26589.26,3.755628
1695523500,1695523740,2023-09-24 02:45:00+00:00,2023-09-24 02:49:00+00:00,26585.81,26587.68,26583.29,26587.77,7.694061
1695523800,1695524040,2023-09-24 02:50:00+00:00,2023-09-24 02:54:00+00:00,26587.67,26584.0,26583.32,26587.68,6.218954
1695524100,1695524340,2023-09-24 02:55:00+00:00,2023-09-24 02:59:00+00:00,26583.99,26587.33,26582.96,26589.97,4.152101
1695524400,1695524640,2023-09-24 03:00:00+00:00,2023-09-24 03:04:00+00:00,26587.32,26583.4,26580.62,26587.32,3.50864
1695524700,1695524940,2023-09-24 03:05:00+00:00,2023-09-24 03:09:00+00:00,26583.4,26587.76,26583.39,26588.4,3.632325
1695525000,1695525240,2023-09-24 03:10:00+00:00,2023-09-24 03:14:00+00:00,26588.17,26584.67,26582.67,26588.56,2.680296
1695525300,1695525540,2023-09-24 03:15:00+00:00,2023-09-24 03:19:00+00:00,26584.67,26582.01,26582.0,26584.69,2.335961
1695525600,1695525840,2023-09-24 03:20:00+00:00,2023-09-24 03:24:00+00:00,26582.01,26585.78,26582.0,26585.87,2.475916
1695525900,1695526140,2023-09-24 03:25:00+00:00,2023-09-24 03:29:00+00:00,26585.78,26582.85,26579.96,26585.84,5.993895
1695526200,1695526440,2023-09-24 03:30:00+00:00,2023-09-24 03:34:00+00:00,26582.85,26586.0,26582.84,26587.1,3.171322
1695526500,1695526740,2023-09-24 03:35:00+00:00,2023-09-24 03:39:00+00:00,26585.57,26585.29,26585.28,26587.68,3.706585
1695526800,1695527040,2023-09-24 03:40:00+00:00,2023-09-24 03:44:00+00:00,26585.29,26582.9,26582.63,26586.36,2.903488
1695527100,1695527340,2023-09-24 03:45:00+00:00,2023-09-24 03:49:00+00:00,26582.9,26578.01,26578.0,26583.54,3.357429
1695527400,1695527640,2023-09-24 03:50:00+00:00,2023-09-24 03:54:00+00:00,26578.01,26571.57,26565.79,26578.01,7.373814
1695527700,1695527940,2023-09-24 03:55:00+00:00,2023-09-24 03:59:00+00:00,26571.57,26575.05,26571.56,26576.03,4.143073
